행정동,면적(㎢),총생활인구수,청소년인구수,청년인구수,중장년인구수,노인인구수,장애인구수,노인_의료복지시설수,노인_주거복지시설수,노인_여가복지시설수,노인_일자리지원기관수,노인교실수,경로당수,장애인_생산품판매시설수,장애인_의료재활시설수,장애인_지역사회재활시설수,장애인_직업재활시설수,총시설수
약수동,0.48,13059.5144,463.2908,2437.353,7006.083500000001,3152.7871,801.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
청구동,0.34,10286.9906,516.3203,2279.4369,5357.3781,2133.8553,582.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
신당5동,0.39,5557.644,175.45190000000002,1544.6513,2801.7686,1035.7722,481.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0
동화동,0.26,11246.1845,438.3035,2321.2668000000003,6024.182699999999,2462.4315,418.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0
황학동,0.33,12105.0056,344.8154,3745.1611000000003,6058.0169,1957.0122,483.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0
중림동,0.48,5992.735,256.8007,1215.8705,3427.7897,1092.2741,509.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,7.0
후암동,0.86,12767.6465,668.9978,3045.9437,6766.6234,2286.0816,685.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,7.0
용산2가동,1.96,10260.1998,376.2409,2981.0259,5149.2164999999995,1753.7165,431.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,5.0
남영동,1.19,8388.8053,338.5556,2555.0893,4316.5683,1178.5921,473.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0
원효로2동,0.71,14008.1217,628.501,3345.4173,7671.0557,2363.1477,462.0,0.0,0.0,2.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,11.0
효창동,0.44,9431.0053,399.0428,2622.2295999999997,5000.7118,1409.0211,338.0,2.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,4.0,0.0,15.0
용문동,0.28,8294.7048,356.1571,1941.1222999999998,4519.3912,1478.0342,440.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,7.0
이촌1동,2.86,21591.3701,1437.2184,3115.4737000000005,13021.751999999999,4016.926,498.0,0.0,0.0,1.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,13.0
이촌2동,1.22,6602.074,222.4789,1290.6047,3717.4937,1371.4967,312.0,0.0,0.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,8.0
이태원1동,0.57,9341.0256,357.3035,3684.8821,4237.5787,1061.2613,205.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,6.0
이태원2동,0.86,10351.184,354.9428,2698.3342000000002,5920.0636,1377.8434,311.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0
서빙고동,2.8,10969.2451,791.3254,1926.9125,6418.0333,1832.9739,341.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,6.0
보광동,0.71,6442.9478,347.6408,1206.7288999999998,3647.41,1241.1681,342.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0
청파동,0.91,21037.2792,1288.3566,7846.7749,9276.385,2625.7627,763.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,7.0
원효로1동,0.59,16709.7949,591.5663,4952.418900000001,9516.6013,1649.2084,433.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,7.0
한강로동,2.9,34337.8632,1767.0741,10777.562,18091.985099999998,3701.242,487.0,0.0,0.0,2.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,14.0
한남동,3.01,19014.4181,633.8113000000001,4780.2659,11313.3465,2286.9944,350.0,1.0,0.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,9.0
왕십리2동,0.41,15773.001,732.9427000000001,4200.030900000001,8339.371500000001,2500.6559,616.0,0.0,0.0,1.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,16.0
마장동,1.05,18155.8349,1089.5684,5154.0136,8839.4781,3072.7748,1002.0,0.0,0.0,1.0,0.0,0.0,15.0,0.0,0.0,4.0,1.0,21.0
사근동,1.1,23644.6593,3123.1158,12879.824900000001,5849.5494,1792.1692,354.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,9.0
행당1동,0.59,26918.6397,2061.7824,8382.459900000002,13637.4873,2836.9101,512.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,7.0
행당2동,0.42,17990.5399,1015.992,3505.0043,10344.1279,3125.4157,891.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,11.0
응봉동,0.57,11077.2515,790.1575,1739.798,6679.5798,1867.7162,523.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0
금호1가동,0.46,12107.0354,522.281,1992.321,7422.553800000001,2169.8796,622.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,8.0
금호4가동,0.84,9406.6762,318.13890000000004,1590.3656999999998,5721.7569,1776.4147,525.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0
성수1가1동,1.97,12865.2083,419.0797,3327.7726000000002,7292.9192,1825.4368,539.0,0.0,0.0,0.0,0.0,2.0,13.0,0.0,0.0,0.0,0.0,15.0
성수1가2동,0.89,15931.5683,625.5129,4266.8021,9000.5041,2038.7492,442.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,9.0
성수2가1동,1.17,15395.0776,541.9198,3974.3468,8545.868699999999,2332.9423,685.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0
성수2가3동,1.03,26046.9778,1218.418,7932.085499999999,13856.3714,3040.1029,384.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,11.0
송정동,0.75,9753.9093,325.8352,3463.2554,4562.5742,1402.2445,474.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,7.0
용답동,2.31,15307.0781,610.0350000000001,5268.2996,7294.350399999999,2134.3931,606.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0
왕십리도선동,0.72,27805.1196,893.9565,7811.566200000001,15031.7313,4067.8656,979.0,0.0,0.0,2.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,15.0
금호2.3가동,0.64,19223.962,766.4219,3738.9546,11289.569099999999,3429.0164,895.0,0.0,0.0,1.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,15.0
옥수동,1.94,22805.3719,963.762,3829.4379000000004,14095.9668,3916.2052,694.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,16.0
화양동,1.16,40300.9482,3683.6157,24031.4903,10164.528600000001,2421.3136,529.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0
군자동,0.74,22656.6466,1641.893,9998.8474,8568.9027,2447.0035,770.0,2.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,8.0
중곡1동,0.62,14045.0034,433.4905,4589.7689,7092.4833,1929.2607,651.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0
중곡2동,0.55,19320.5702,935.7931,5546.191,9754.7915,3083.7946,870.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0
중곡3동,0.6,12110.057,480.1024,3209.9707999999996,6339.1928,2080.791,723.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0
중곡4동,2.32,22928.3725,969.6649,5242.1518,12055.4893,4661.0665,1279.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0
능동,1.1,10804.6143,443.22,3885.9107,5037.5165,1437.9671,379.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,5.0
구의1동,0.56,21520.2182,1040.5203,7405.91,10395.3871,2678.4008,799.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0
구의2동,1.39,18279.3933,1228.036,4196.1211,9541.6625,3313.5737,1034.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,5.0
구의3동,1.02,24039.7124,1787.3614,5120.2219000000005,13302.526600000001,3829.6025,775.0,0.0,0.0,1.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,11.0
광장동,2.39,29560.0564,3194.4964,5064.7647,17098.9844,4201.8109,700.0,3.0,0.0,0.0,0.0,2.0,21.0,0.0,0.0,0.0,0.0,26.0
자양1동,0.57,23386.8973,1652.6082000000001,8451.0282,10357.544100000001,2925.7168,908.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0
자양2동,1.68,22006.8276,1186.5095999999999,5286.8055,11762.876699999999,3770.6358,900.0,0.0,0.0,1.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,13.0
자양3동,1.2,24596.4569,1582.2397,6131.5337,12904.606199999998,3978.0773,781.0,0.0,0.0,0.0,1.0,1.0,17.0,0.0,0.0,0.0,0.0,19.0
자양4동,1.16,24616.3686,1274.3568,8649.7293,11249.1985,3443.084,925.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0
회기동,0.76,17777.0863,1759.8632,9351.966900000001,4742.324799999999,1922.9314,305.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0
휘경1동,0.63,19554.6624,1117.7554,8439.601,7698.114800000001,2299.1912,480.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,8.0
휘경2동,1.05,19558.1268,1353.7255,7469.7129,7782.7269000000015,2951.9615,892.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0
청량리동,1.2,16016.4275,659.4253,3871.2638,7505.6455,3980.0929,1195.0,,,,,,,,,,,
용신동,1.61,34601.2817,1417.7316999999998,11207.2729,16659.3114,5316.9657,1611.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0
제기동,1.18,27707.5517,1985.2971,10238.9401,10589.3102,4894.0043,1277.0,12.0,0.0,3.0,0.0,3.0,11.0,0.0,0.0,0.0,0.0,29.0
전농1동,1.19,31193.8604,2115.8487999999998,9404.2603,14779.960299999999,4893.791,1517.0,0.0,0.0,1.0,0.0,3.0,11.0,0.0,0.0,0.0,0.0,15.0
전농2동,0.86,12691.4965,932.0941,2683.2780000000002,6708.7116,2367.4128,823.0,0.0,0.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,11.0
답십리1동,0.81,22533.0901,1066.1353,5643.4574,12561.841300000002,3261.6561,1058.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0
답십리2동,0.85,21789.3672,856.0044,4344.9106,12199.0546,4389.3976,1374.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,19.0
장안1동,1.25,33331.5611,1417.4326,8368.4894,18347.037800000002,5198.6013,1668.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,3.0,14.0
장안2동,1.09,25119.6803,1390.4270999999999,5532.7906,13994.156799999999,4202.3058,1376.0,4.0,0.0,0.0,0.0,3.0,12.0,0.0,0.0,1.0,2.0,22.0
이문1동,1.04,36931.3591,3543.7658,16685.771500000003,13377.606999999998,3324.2148,684.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,9.0
이문2동,0.69,13761.2869,904.7484,3496.1427000000003,6779.4089,2580.9869,963.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,11.0
면목2동,0.73,20108.4391,849.8751,4978.7837,10634.5331,3645.2472,1236.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0
면목4동,1.1,15240.1937,622.6952,3376.5543,8111.123799999999,3129.8204,1210.0,0.0,0.0,1.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,12.0
면목5동,0.64,11199.5305,498.7804,2168.3283,6385.0021,2147.4197,619.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0
면목7동,0.87,14913.182,584.9416,3392.2880999999998,7766.452799999999,3169.4995,1019.0,0.0,0.0,1.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,13.0
상봉1동,0.85,14771.9065,681.8803,3144.7379,8174.4911999999995,2770.7971,1368.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,12.0
상봉2동,0.68,22302.0994,847.1677,8222.0429,10315.108699999999,2917.7801,814.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,7.0
중화1동,0.68,16044.226,718.6642,3658.4211,8192.5707,3474.57,899.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,6.0
중화2동,0.98,23903.8617,881.9399000000001,5419.6152999999995,12772.580000000002,4829.7265,1408.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0
묵1동,1.2,24050.1108,1206.1716000000001,5568.6365000000005,12422.928100000001,4852.3746,1374.0,0.0,0.0,1.0,1.0,1.0,15.0,0.0,0.0,0.0,0.0,18.0
묵2동,0.7,16387.3723,721.1157000000001,4385.7972,8371.824,2908.6354,902.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,6.0
망우3동,0.99,10707.4132,418.3199,2380.3523999999998,5629.4281,2279.3128,920.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0
신내1동,2.53,28945.1322,1844.6625,5523.4980000000005,15944.0308,5632.9409,1948.0,0.0,0.0,1.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,23.0
신내2동,0.99,12766.6629,642.9926,2384.5141000000003,6963.082,2776.0742,1448.0,0.0,0.0,2.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,11.0
면목본동,1.01,29418.4164,1191.2049,7915.305700000001,15156.488300000003,5155.4175,1648.0,0.0,0.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,10.0
면목3.8동,1.67,20552.3281,762.6384,5218.7299,10445.0239,4125.9359,1260.0,0.0,0.0,2.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,11.0
망우본동,2.88,36013.6698,1775.3975,8067.449199999999,19325.7541,6845.069,1993.0,0.0,0.0,3.0,0.0,3.0,13.0,0.0,0.0,0.0,0.0,19.0
돈암1동,0.49,11092.5327,666.1601,2255.5037,5818.628199999999,2352.2407,594.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0
돈암2동,0.48,14937.3688,1125.8265000000001,2915.6701000000003,8144.861899999999,2751.0103,669.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0
안암동,1.33,25698.5308,3561.3364,13045.731500000002,6688.9899000000005,2402.473,542.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,8.0
보문동,0.56,14613.8551,653.1042,4337.2321,7178.234700000001,2445.2841,606.0,0.0,0.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,10.0
정릉1동,0.44,12445.9702,960.0835999999999,2295.993,6867.1711,2322.7225,636.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,13.0
정릉2동,1.17,17930.7897,1062.5059,3959.9884999999995,9545.4975,3362.7978,961.0,0.0,0.0,2.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,16.0
정릉3동,3.71,16154.8987,1977.2797,7449.468,4643.7142,2084.4368,614.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0
정릉4동,3.13,16858.0246,1289.1308,3839.6626,8308.285899999999,3420.9453,1045.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,12.0
길음1동,0.79,31504.8763,3240.2462,5306.9915,18176.2021,4781.4365,1007.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,15.0
길음2동,0.58,15744.7761,1179.761,3065.3723,8757.149000000001,2742.4938,750.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0
월곡1동,0.81,25615.3185,2230.5388000000003,5398.6564,13592.610700000001,4393.5126,1110.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,11.0
월곡2동,1.36,19896.9426,1276.9704,6011.6916,9033.355099999999,3574.9255,866.0,0.0,0.0,1.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,12.0
장위1동,0.7,20319.0924,1116.1132,4176.9391,11139.116899999999,3886.9232,1102.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,7.0
장위2동,0.67,14936.3505,732.3129,3464.454,7722.6734,3016.9102,680.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0
장위3동,0.65,10032.0635,559.1542,2236.9988000000003,5496.0222,1739.8883,608.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,8.0
성북동,2.86,17718.9405,1232.9646,4218.9275,9057.8576,3209.1908,529.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,8.0
삼선동,0.92,26394.4857,1976.5867,8817.3064,12129.795,3470.7976,808.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,10.0
동선동,0.73,22569.64,2304.2772,9693.3078,8190.7998,2381.2552,501.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,1.0,0.0,9.0
종암동,1.46,38093.9278,2966.7781,10554.6142,18061.281,6511.2545,1540.0,3.0,1.0,1.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,24.0
석관동,1.73,25753.5632,1344.7698,6683.6139,12699.365199999998,5025.8143,1733.0,1.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,11.0
번1동,0.66,16906.8519,732.6599,5285.1026999999995,7953.3068,2935.7825,856.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,7.0
번2동,0.95,10364.5161,492.9858,2075.0163000000002,5272.3911,2524.1229,1293.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,11.0
번3동,1.1,13353.9816,605.6157000000001,2364.6189999999997,6815.9296,3567.8173,1934.0,0.0,0.0,1.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,14.0
수유1동,1.67,16396.4298,788.8199,4240.9635,7836.729500000001,3529.9169,1221.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,6.0
수유2동,0.57,15330.9983,684.0002999999999,3311.8432999999995,7709.0533,3626.1014,1112.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,10.0
수유3동,0.72,24358.4897,1174.9698,8382.7064,10936.570699999998,3864.2428,1147.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0
삼양동,0.91,20448.5205,1150.9241,4187.2244,10837.4625,4272.9095,1349.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
미아동,0.93,19716.0231,959.5555999999999,5653.5851999999995,9107.111499999999,3995.7708,1107.0,6.0,0.0,1.0,1.0,1.0,47.0,0.0,0.0,0.0,0.0,56.0
송중동,1.01,27969.7288,1441.0731999999998,6423.4044,14207.7859,5897.4653,1393.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
송천동,0.9,21952.1994,1147.7460999999998,4222.2652,11427.974199999999,5154.2139,1390.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
삼각산동,0.62,19476.1322,1494.6783,3179.348,11386.2769,3415.829,1232.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
우이동,10.28,16217.2091,807.0778,3451.2497000000003,8298.5227,3660.3589,1052.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,8.0
인수동,3.28,24614.1467,1228.4367,4913.8987,12303.7972,6168.0141,1724.0,0.0,0.0,1.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,10.0
쌍문1동,1.24,16253.5873,1044.2567,3939.1229000000003,7817.0824,3453.1253,1139.0,0.0,0.0,1.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,13.0
쌍문2동,0.54,16372.0823,843.3101,3319.0474,8430.28,3779.4448,905.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,7.0
쌍문3동,0.5,15591.9443,944.445,3682.9017,7692.3868,3272.2108,818.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0
쌍문4동,0.52,12022.6897,794.5214000000001,1907.6118,6493.4709,2827.0856,634.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0
방학1동,0.69,20823.1876,1155.8513,4186.347400000001,10870.3843,4610.6046,1456.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0
방학2동,0.74,10242.8889,466.3143,1718.8156,5298.9359,2758.8231,1249.0,0.0,0.0,2.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,8.0
방학3동,2.62,18065.0494,1243.359,2712.9383,9272.5618,4836.1903,1031.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,19.0
창1동,0.88,17956.2205,977.2754,3824.9532,9316.834799999999,3837.1571,957.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,8.0
창2동,1.05,33658.0618,2252.3057,8426.126,16542.8266,6436.8035,1309.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0
창3동,0.67,9806.5756,549.9333,1834.9598,5217.831,2203.8515,779.0,0.0,0.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,8.0
창4동,0.95,25194.8629,1504.5369999999998,5034.0455,13494.347099999999,5161.9333,934.0,0.0,0.0,1.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,12.0
창5동,0.7,14267.6208,908.5852,3101.1334,7327.8468,2930.0554,996.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,14.0
